0 1 0.001149 0.000302
0 2 -0.001057 0.000335
1 1 0.000803 0.000263
1 2 -0.000826 0.000296
2 1 0.000408 -0.000215
2 2 -0.000488 0.000255
3 0 -0.000006 0.000236
4 -1 0.000023 0.000410
5 0 -0.000008 0.000249
6 0 -0.000015 0.000294
7 1 0.000346 0.000207
7 2 -0.000386 0.000227
8 1 0.000580 0.000271
8 2 -0.000579 0.000233
9 1 0.000388 0.000217
9 2 -0.000410 0.000246
10 -1 -0.000020 0.000339
11 0 -0.000030 0.000252
12 -1 0.000029 0.000375
13 0 -0.000024 0.000261
14 0 -0.000021 0.000297
15 1 0.000332 0.000164
15 2 -0.000324 0.000243
16 1 0.000517 0.000247
16 2 -0.000504 0.000226
17 1 0.000365 0.000180
17 2 -0.000349 0.000261
18 -1 -0.000007 0.000341
19 0 -0.000025 0.000305
20 -1 0.000007 0.000391
